** CONVERTED FROM C:\Users\Jasper\Documents\UU\Experiments\SWM\SWM_pupil\Data\edf\BB_O04.edf using edfapi 3.1 Win32 Jul  4 2014 on Tue Feb 16 16:49:23 2016
** DATE: Tue Feb  2 14:36:23 2016
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v4.10 Sep  9 2007
** CAMERA: EyeLink CL Version 1.4 Sensor=CHD
** SERIAL NUMBER: CL1-77T31
** CAMERA_CONFIG: 77T31140.SCD
**

MSG	241063 DRIFTCORRECT L LEFT  at 640,400  OFFSET 0.85 deg.  -26.5,1.5 pix.
MSG	241229 RECCFG CR 1000 2 1 L
MSG	241229 ELCLCFG MTABLE
MSG	241229 GAZE_COORDS 0.00 0.00 1279.00 799.00
MSG	241229 THRESHOLDS L 55 228
MSG	241229 ELCL_PROC CENTROID (3)
MSG	241229 ELCL_PCR_PARAM 5 3.0
START	241230 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	1000.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	LEFT	RATE	1000.00	TRACKING	CR	FILTER	2
MSG	241230 !MODE RECORD CR 1000 2 1 L
241510	  611.3	  399.1	 1088.0	...
241511	  610.9	  398.8	 1090.0	...
241512	  611.2	  398.9	 1091.0	...
241513	  612.0	  399.2	 1091.0	...
241514	  612.5	  399.5	 1091.0	...
241515	  612.2	  399.5	 1090.0	...
241516	  611.9	  399.5	 1089.0	...
241517	  611.8	  399.5	 1090.0	...
241518	  611.6	  399.7	 1090.0	...
241519	  611.6	  399.9	 1090.0	...
241520	  611.7	  400.1	 1091.0	...
241521	  611.8	  400.1	 1091.0	...
241522	  611.8	  400.1	 1091.0	...
241523	  611.8	  400.3	 1092.0	...
241524	  611.7	  400.5	 1092.0	...
241525	  611.6	  400.7	 1090.0	...
241526	  611.6	  400.7	 1087.0	...
241527	  611.5	  400.6	 1087.0	...
241528	  611.5	  400.4	 1088.0	...
241529	  611.5	  400.2	 1090.0	...
241530	  611.5	  400.1	 1091.0	...
241531	  612.0	  399.9	 1092.0	...
241532	  612.5	  399.7	 1092.0	...
241533	  612.7	  399.5	 1090.0	...
241534	  612.4	  399.1	 1088.0	...
241535	  612.1	  399.0	 1087.0	...
241536	  612.0	  398.9	 1088.0	...
241537	  612.1	  399.2	 1090.0	...
241538	  612.1	  399.2	 1091.0	...
241539	  612.2	  399.3	 1089.0	...
241540	  612.3	  399.4	 1087.0	...
241541	  612.5	  399.5	 1084.0	...
241542	  612.5	  399.4	 1084.0	...
241543	  612.6	  399.3	 1085.0	...
241544	  612.6	  399.3	 1086.0	...
241545	  612.2	  399.3	 1087.0	...
241546	  611.8	  398.9	 1089.0	...
241547	  611.5	  398.5	 1089.0	...
241548	  611.4	  398.0	 1088.0	...
241549	  611.4	  397.9	 1087.0	...
241550	  611.3	  397.5	 1087.0	...
241551	  611.4	  397.1	 1086.0	...
241552	  611.5	  396.6	 1085.0	...
241553	  611.6	  396.4	 1085.0	...
241554	  611.5	  396.2	 1085.0	...
241555	  611.4	  396.1	 1086.0	...
241556	  611.3	  396.1	 1087.0	...
241557	  611.4	  396.0	 1087.0	...
241558	  611.5	  395.9	 1085.0	...
241559	  611.7	  396.0	 1084.0	...
241560	  611.8	  396.2	 1084.0	...
241561	  612.0	  396.5	 1084.0	...
241562	  612.2	  396.6	 1084.0	...
241563	  612.3	  397.0	 1083.0	...
241564	  612.4	  397.2	 1083.0	...
241565	  612.4	  396.9	 1081.0	...
241566	  612.2	  396.3	 1080.0	...
241567	  612.0	  395.9	 1083.0	...
241568	  611.9	  396.1	 1086.0	...
241569	  611.9	  396.4	 1088.0	...
241570	  611.8	  396.4	 1089.0	...
241571	  611.6	  396.4	 1089.0	...
241572	  611.3	  396.6	 1090.0	...
241573	  611.5	  396.7	 1090.0	...
241574	  611.9	  397.0	 1090.0	...
241575	  612.0	  397.2	 1091.0	...
241576	  611.7	  397.3	 1091.0	...
